"timestamp","idf7e0e6a9ebcf4e82f8455b69af3a99ea","idea0c9156c4b3940312f4483a14b25f7e","id25144079ace8e400ef625cb0b5c4f49b","idc659d6134e73ba03948995ba848a9fb7","ida54199e3f67b6de38c6d717b15922344","id4e3cffd4957f8bf08cc9d2c66e4ee172","id6523b5fef60ecd5f9e362a2e2d5dabf8","id3f40c55abb391c062356272ac24000ee","id108be3ab3726b4beac020aef421acd53","id4bf9d61c1af7458526df0d5f0d08c5b2","ided9a31470432588135e7fc8a97b7f979","idbaf1ceb24a2ed58579327dcd1577af90","id853f376dcb4b75332a2ad0a91a82c8ff","idfca048328a00573ad632b2de6fb3866d","id8b8a5121578fd682a939fb4765d0f55b","id55e241a349ad0bab868ca9ded3bb741a","id11eeccf39575d29e30c0c93e404ad3f2","id2af8fc0a2c3247c605fab73448934cb1","id72cea59c0fb4a15e60a5c7fa78c12de4","idfeb415b56def32b3a70afa72486d85ff","id5388d217b085e76a60cd80b24eb5868d","id81bb4fe9d847aecad35333efef25f87b","id12f0e6dd5c2dfc57689fe25e6914ea47","idb4d7c53e30297dc886f86c662671efed","idf9c5502bfde353c8ab4d274ccab26060","idfe1dc6da50e4dbc22d361ecc0ddc6fd1","id38e87d1e5a3c7b7f7555ea2593784322","id7263727ee60d6bb4f45041b6076e5e8e","id89c91beb20773c712921ac1f183ce96a","idb5431a779d457f331d0f57b5209c0502"
1980-01-07,1.16,0.642,2.65,162.746666666667,117.37,13.1,4.55,1.01,1.17,384.62,2.5,0.233,34.1,0.555,3.91,32.2,60.8,1.38,1.76,3.25,0.981,7.34,257.22,0.688,3.38,0.577,318.61,117.595,0.933,2.48
1980-01-14,1.87,0.653,2.43,162.555,117.374,9.42,3.88,0.961,0.891,384.66,1.75,0.12,25.4,0.4,14.2,23.3,38.5,0.427,1.51,2.53,0.869,5.97,257.21,0.358,2.97,0.319,318.58,117.62,3.66,1.41
1980-01-21,1.17,0.673,1.88,162.28,117.388,8.56,2.81,0.971,0.824,384.64,1.84,0.083,25.7,0.386,12.8,28.6,36.8,0.353,1.42,1.42,1.02,5.8,257.2,0.162,2.9,0.237,318.54,117.65,2.96,1.21
1980-01-28,0.922,0.734,1.79,162.003333333333,117.402,8.89,4.48,0.93,0.856,384.67,2.08,0.103,24,0.418,2.02,27.6,40.8,0.334,1.26,1.72,1.1,5.56,257.2,0.195,2.95,0.442,318.5,117.64,1.02,1.21
1980-02-04,11.2,3.63,24.9,163.26,117.4,29,14.9,1.46,9.97,384.86,15.8,1.84,255,2.35,80.1,85.6,158,8.82,4.28,20.9,2.75,30.2,257.35,3.5,8.84,6.46,318.825,117.7,4.5,8.8
1980-02-11,10.3,0.785,7.73,163.67,117.4,22.7,9.86,1.35,5.2,387.97,16.4,0.465,182,0.764,42.7,63.9,124,1.65,5.62,5.1,3.37,17.5,257.39,1.15,6.6,3.61,319.15,117.76,5.22,4.15
1980-02-18,3.77,0.618,3.83,163.03,117.401538461538,15.9,4.71,1.24,2.31,387.81,6.04,0.196,92.9,0.529,13.1,47.8,79.9,0.903,2.89,3.4,1.61,9.99,257.34,0.6,4.41,1.41,319.06,117.803333333333,2.15,2.06
1980-02-25,1.9,0.648,2.78,162.71,117.406923076923,11.4,3.26,1.19,1.59,387.64,3.67,0.112,51.7,0.479,7.85,36.4,55,0.601,2.32,2.39,1.11,7.95,257.29,0.44,3.62,0.879,318.97,117.85,1.31,1.5
1980-03-03,1.68,0.699,2.62,162.5,117.412307692308,10.9,2.91,1.19,1.21,387.29,3.21,0.093,41.8,0.451,7.05,33.4,54,0.496,2.04,1.99,1.1,7.73,257.25,0.42,3.15,0.657,318.9,117.9,1.17,1.33
1980-03-10,3.39,0.794,2.79,162.47,117.417692307692,11.7,4.59,1.22,1.04,387.22,4.24,0.081,58.4,0.442,17.3,47.9,55.6,0.502,2.6,2.14,1.4,8.44,257.24,0.377,3.01,0.983,318.83,117.91,1.24,1.23
